70627,97708,124368,151024,177889,204752,231401,257837,285343,313062,340356,367437
78693,105764,132417,159071,185725,212588,239236,265670,293169,320883,347959,375038
72686,99757,126411,153067,179726,206596,233255,259700,287213,314940,342029,368904
78125,105200,131858,158515,185386,212257,239127,265573,293088,320818,348122,375213
73865,100940,127600,154262,180924,207587,234463,260913,288431,316162,343468,370347
74587,101663,128322,154981,181853,208726,235599,262260,289776,317506,344598,371690
75834,102920,129587,156255,182919,209795,236671,263121,290637,318366,345668,372545
72297,99167,125832,152496,179160,205824,232700,259148,286660,314385,341684,368558
77169,104241,130897,157554,184210,211080,237951,264398,291911,319640,346944,374038
76394,103468,130125,156782,183652,210523,237395,263841,291355,319083,346385,373474
