74904,101782,128458,154923,181601,208280,234958,261421,288950,316479,343583,370474
69471,96354,123032,149496,176174,202850,229527,255989,283517,311259,338573,365460
73402,100279,126740,153200,179873,206548,233223,259688,287220,314964,342067,368954
72413,99289,125744,152411,179075,205735,232393,258838,286351,313867,340954,368041
75502,102378,128835,155503,182171,208839,235721,262176,289484,317221,344318,371415
71015,97895,124359,151038,177929,204820,231496,257956,285270,313014,340119,367012
69157,96036,122496,148951,175617,202496,229165,255623,283149,310889,338199,365294
73063,99925,126584,153031,179693,206568,233228,259675,287191,314921,342013,369107
69916,96776,123221,149881,176542,203204,230079,256528,283831,311561,338651,365741
68888,95753,122201,148864,175528,202405,229068,255516,282818,310548,337639,364728
