80942,107600,134051,160289,186949,213395,239840,266072,293159,320461,347551,374212
77723,104372,130816,157257,183696,210134,236572,263012,290094,317390,344473,371128
80114,106764,133211,159657,186103,212763,239209,265439,292733,320026,347106,373763
85486,112133,138581,164818,191268,217719,244383,270620,297711,325227,352101,378759
28472,55138,81602,107855,134532,160994,187453,213698,240797,268107,295200,321862
81041,107699,134153,160603,187051,213498,239946,266182,293273,320578,347457,374121
76386,103044,129500,155957,182414,208873,235544,261790,288892,316208,343097,369774
73271,99924,126378,152834,179292,205751,232214,258464,285782,313099,339992,366671
75463,102116,128569,154812,181271,207732,234194,260444,287547,314862,341963,368635
79429,106088,132547,159008,185469,211930,238604,264850,291948,319259,346144,372816
