0.004874624,0.006419129,-0.0911111
0.004450986,-0.040190502,-0.112107107
0.003749921,0.005579316,-0.109857535
0.005523203,-0.034244325,-0.091486029
0.002643963,-0.019258908,-0.11435668
0.006932831,0.007937542,-0.114731608
0.001219339,-0.084576879,-0.09411053
0.007810099,0.088289667,-0.101234175
0.000143374,-0.242094339,-0.093735601
0.017797462,0.773487246,-0.104233605
0.202323734,2.511139456,-0.049868943
0.421595831,2.428099178,0.002246146
0.591980837,2.402739819,0.061109952
0.761139917,2.479552732,0.080981173
0.901270413,2.43779827,0.04423816
1.031503523,2.518431584,0.170589132
1.144839844,2.388789172,0.157466628
1.242302857,2.387267011,0.072357813
1.333265087,2.272310083,0.08473046
1.412534154,2.227316342,0.031865513
1.48306053,2.188066323,-0.035996581
1.539033249,2.115310008,-0.029622793
1.584160083,2.08819229,-3.43e-06
1.617402554,2.001459084,-0.027373221
1.64199606,1.941978565,-0.047244442
1.658188034,1.865255632,-0.070490022
1.664872519,1.774345855,-0.144350976
1.664711312,1.703137945,-0.201715067
1.654708953,1.650225965,-0.136852402
1.635622743,1.578969316,-0.165346983
1.608333699,1.493293375,-0.214087714
1.57186333,1.413638594,-0.163097411
1.527763725,1.323025001,-0.185968061
1.476252328,1.241626858,-0.212587999
1.416219431,1.155482271,-0.162722482
1.349670754,1.040255403,-0.138727045
1.276212652,0.929909949,-0.18071906
1.196437469,0.822207658,-0.19496635
1.110750096,0.700933385,-0.300696244
1.022820815,0.60619196,-0.387679702
0.931120031,0.482207041,-0.416174283
0.832093681,0.352317185,-0.436045504
0.727979924,0.212180858,-0.409050638
0.614028765,0.073079301,-0.376431841
0.501318528,-0.032808394,-0.317568035
0.380859088,-0.188904921,-0.308944675
0.262394121,-0.291024704,-0.263953231
0.141713489,-0.563495343,-0.183718489
0.02045551,-0.578218318,-0.113231894
-0.009480335,-0.130575396,-0.069740164
0.005789383,-0.058883844,-0.049494015
-0.00018279,-0.077719654,-0.022874077
0.002981374,-0.02204079,-0.057367517
0.001781691,-0.048401176,-0.057742446
0.001864169,-0.014943618,-0.032997152
0.002419023,-0.029595359,-0.051368658
0.001309316,-0.01925141,-0.016500289
0.002625218,-0.015078588,0.026241583
0.001283073,-0.016698228,-0.021374362
0.001957894,-0.011685593,-0.057742446
0.001545503,-0.021253465,-0.041995441
0.001478021,-0.010684566,-0.056242731
0.001496766,-0.009844753,-0.066365806
0.001005646,-0.008603779,-0.018000004
0.00114061,-0.009413599,0.021742438
0.000960658,-0.008138882,0.019492866
0.000926917,-0.01314027,0.060360095
0.000698227,-0.014096307,0.083605674
0.000514526,-0.006241804,0.063734453
0.000405804,-0.012098001,0.078356672
6.84e-05,-0.009818508,0.05023702
-3.28e-05,-0.008112638,-0.017250146
0.000147123,-0.00882123,-0.063741305
7.21e-05,-0.007182845,-0.131978329
5.34e-05,-0.010140937,-0.194591421
0.000207107,-0.006069342,-0.198715637
0.00011713,-0.006384272,-0.190842134
0.000240848,-0.007002885,-0.202089996
0.00053702,-0.005364499,-0.197590851
0.000304581,-0.008480056,-0.118105967
0.000278338,-0.005548208,-0.14322619
0.000334573,-0.005806901,-0.214087714
0.000372063,-0.00913616,-0.134602829
0.000705725,-0.004689649,-0.177344701
0.000630745,-0.004329729,-0.202839853
0.000668235,-0.005458228,-0.130853542
0.000701976,-0.004310984,-0.197215922
0.000585757,-0.005761911,-0.205839283
0.000668235,-0.006579229,-0.151474621
0.000589506,-0.011048235,-0.164222197
0.000731968,-0.008472558,-0.137602259
0.00087818,-0.004243499,-0.098234746
0.000776956,-0.007726474,-0.101609104
0.000825693,-0.005664433,-0.126354398
0.000548267,-0.011100723,-0.128229042
-0.000111559,-0.014283765,-0.11135725
-0.000310257,-0.005821898,-0.106483177
-0.000681409,-0.009297374,-0.05361823
-0.001123792,-0.007685233,-0.01912479
-0.001135039,-0.008112638,-0.020999433
-0.00173488,-0.012079256,0.007495148
-0.00128125,-0.006133078,0.03861423
-0.00200106,-0.016368301,0.011244435
-0.002132276,-0.005758162,-0.010876359
-0.00196357,-0.013601417,0.013494007
-0.002810846,-0.011153212,-0.037871225
-0.001517438,-0.007104112,-0.086986885
-0.00378184,-0.015588475,-0.069740164
-0.001382474,0.0034048,-0.103483747
-0.003103269,-0.024717694,-0.107607963
-0.002240997,0.010520717,-0.058867232
-0.001941076,-0.032579695,-0.045744728
-0.004591626,0.013010163,-0.042370369
0.001433033,-0.017151877,-0.056242731
-0.009146673,-0.023203031,-0.05361823
0.010554374,0.068490322,-0.124479755
-0.073310979,-0.932068355,-0.162722482
-0.329345868,-1.687277859,-0.137977188
-0.553034299,-1.509784842,-0.123354969
-0.749133765,-1.595756967,-0.077238738
-0.935954431,-1.637537673,-0.095610245
-1.091973232,-1.712809679,0.018743009
-1.241063861,-1.780133453,0.060360095
-1.363037902,-1.775915641,0.038989159
-1.474803388,-1.783725154,0.121473473
-1.574575791,-1.730168318,0.049862091
-1.662771251,-1.742540565,0.037864373
-1.738381285,-1.721312787,0.035989729
-1.797386953,-1.702319513,-0.005627357
-1.84617282,-1.686044383,0.05886038
-1.881780917,-1.654746345,0.021742438
-1.908665068,-1.625150429,-0.044245013
-1.925288178,-1.576336287,-0.054368088
-1.931410312,-1.535762813,-0.075364095
-1.928624797,-1.486300066,-0.080613097
-1.916256813,-1.42181816,-0.133852972
-1.895622262,-1.355139243,-0.134977758
-1.864966607,-1.284782393,-0.137977188
-1.825137125,-1.212281021,-0.182218774
-1.777659662,-1.142718995,-0.14322619
-1.721896888,-1.068054354,-0.144350976
-1.658058745,-0.981152436,-0.140601689
-1.586906285,-0.896919923,-0.104983462
-1.508619458,-0.805106597,-0.141351546
-1.421923602,-0.707470816,-0.20358971
-1.331909872,-0.619466643,-0.224585718
-1.237626019,-0.517605552,-0.270327019
-1.138603418,-0.420130985,-0.334814755
-1.03237522,-0.296854657,-0.347562331
-0.917464314,-0.191780531,-0.359934978
-0.79902559,-0.073115678,-0.374932126
-0.672642714,0.04310097,-0.371932697
-0.548483001,0.131315096,-0.36518398
-0.414455893,0.274570729,-0.3393139
-0.282831901,0.357944683,-0.270327019
-0.147593864,0.634273214,-0.230584577
-0.016573462,0.595967985,-0.196840994
0.010704335,0.102191575,-0.14885012
-0.005382667,0.054982077,-0.135727616
0.001560499,0.069761289,-0.097859817
-0.00245469,0.01181043,-0.074239309
-0.000516452,0.043224692,-0.058492303
-0.000868859,0.006726561,-0.044619942
-0.001367477,0.020201064,-0.055492874
-0.000212782,0.009804626,-0.05661766
-0.001513689,0.008158742,-0.067865521
-0.000216531,0.006374139,-0.066365806
-0.001037565,-0.001274159,-0.059992018
-0.000310257,0.009669656,-0.060366947
-0.000396484,0.002388776,-0.043120227
-0.000482711,-0.002590116,-0.023623934
1.97e-05,-0.001101698,-0.011626216
-6.28e-05,-0.000974226,0.028116226
0.00030833,-0.003418682,0.065609096
0.000327075,0.003056128,0.05023702
0.000615749,-0.000944233,0.05023702
